Category,Part Number,Description,Vendor,Quantity,in Drawing,,,,,,,,,,,,
Optomechanical,Owis - 46.090.51KN,"flip mirror holders with DC geared motor, with mechanical limit switches,
for optics with ¿ 50 mm / 50.8 mm (2""), deflection to the right",Owis,1,,,,,,,,,,,,,
Optomechanical,KCB2_M,"Right-Angle Kinematic Mirror Mount with Tapped Cage Rod Holes, 60 mm Cage System and SM2 Compatible, M4 and M6 Mounting Holes",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,LC6W,60 mm Cage Cube,Thorlabs,1,,,,,,,,,,,,,
Optomechanical,LB4C_M ,"Kinematic Prism Platform for 60 mm Cage Cube, Metric Taps",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,LB5C1,"¯2"" Optic Mount for 60 mm Cage Cube with Setscrew Optic Retention",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,46.045.26KN,"flip mirror holders with DC geared motor, with mechanical limit switches, for optics
with ¿_25_mm / 25.4_mm_(1""), deflection to the left",Owis,1,,,,,,,,,,,,,
Optomechanical,RC12FC-P01,"Protected Silver Reflective Collimator, 450 nm - 20 µm, ¯12 mm Beam, FC/P",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,K5X1,"5-Axis Locking Kinematic Mount for ¯1"" Optics",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,RC2_M,"Dovetail Rail Carrier, 50.8 mm x 25.4 mm, M6 Counterbore, M4 Taps",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,PLS-P642H0293A00_M,"Custom POLARIS Mounting Post, Height: 2.93 in",Thorlabs,2,,,,,,,,,,,,,
Optomechanical,PLS-P642H0335A00_M,"Custom POLARIS Mounting Post, Height: 3.35 in",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,PLS-P642H0537A00_M,"Custom POLARIS Mounting Post, Height: 5.37 in",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,PLS-P642H0446A00_M,"Custom POLARIS Mounting Post, Height: 4.46 in",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,PLS-P642H0495A00_M,"Custom POLARIS Mounting Post, Height: 4.95 in",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,LCPMA1,"Snap-On 60 mm Cage Mounting Bracket, #8 (M4) Slot",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,TR100_M,"¯12.7 mm Optical Post, SS, M4 Setscrew, M6 Tap, L = 100 mm",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,RA90_M,"Right-Angle Clamp for ¯1/2"" Posts, 5 mm Hex",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,TR50_M,"¯12.7 mm Optical Post, SS, M4 Setscrew, M6 Tap, L = 50 mm £4.01",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,ER05,"Cage Assembly Rod, 1/2"" Long, ¯6 mm",Thorlabs,4,,,,,,,,,,,,,
Optomechanical,LCP4S,"30 mm to 60 mm Cage Plate Adapter, 4 mm Thick",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,SM1CPL10,"SM1 Lens Tube Flexure Sleeve Coupler, 1.0"" Long",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,SM1L05,"SM1 Lens Tube, 0.50"" Thread Depth, One Retaining Ring Included",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,DCC1545M,"USB 2.0 CMOS Camera, 1280 x 1024, Monochrome Sensor",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,CML15,"C-Mount Extension Tube, 15 mm Long",Thorlabs,1,,,,,,,,,,,,,
Optomechanical,4-40 x 3/16,Stainless Steel Screws,Thorlabs,4,,,,,,,,,,,,,
Optics,"f = 500.0 mm, ¯1"", N-BK7 Mounted Plano-Convex Round Cyl Lens, ARC: 650 - 1050 nm ",,Thorlabs,1,CY0,,,,,,,,,,,,
actuators,M-227.10,"High-Resolution DC-Mike Linear Actuator, 10 mm",PI,3,,,,,,,,,,,,,
actuators,C-863.11,"Mercury DC-Motor Controller, 1 Channel, with Wide-Range Power Supply",PI,3,,,,,,,,,,,,,
actuators,M-219.10,M227 ball tip ends,PI,3,,,,,,,,,,,,,
actuators,LS-50,ASI translation stage for tower,ASI,2,,,,,,,,,,,,,
actuators,LE-ZF,Micro-E linear encoder for LS-50 stages,ASI,2,,,,,,,,,,,,,
actuators,MS2,MS2 LS 50 controller,ASI,1,,,,,,,,,,,,,
actuators,P-541.ZCD,"Low-Profile Z-Nanopositioning Stage, 100_m, Cap. Sensors, Sub-D Connector",PI,1,,,,,,,,,,,,,
actuators,E-621.CR,"Piezo Amplifier / Servo-Controller Module, 1 Channel, -30 to 130 V, Capacitive Sensor, USB, RS-232",PI,1,,,,,,,,,,,,,
actuators,P-612.2SL,"XY Nanopositioning System with 20 x 20 mm Aperture, 100 x 100 _m, Strain Gauge Sensors",PI,1,,,,,,,,,,,,,
actuators,E-621.SR,"Piezo Amplifier / Servo-Controller Module, 1 Channel, -30 to 130 V, SGS-Sensor, USB, RS-232",PI,2,,,,,,,,,,,,,
